No,Tweet,Label
1,Kamu lagi cari-cari tas yang berkualitas? disini tempatnya! @PusatTasLokalID menyediakan ratusan tas lokal :) cocokbuat aktivitas,Positif
2,Kami @PusatTasLokalID hanya menjual product-product tas lokal yang BERKUALITAS. Ayo cintai Brand Anak Bangsa :),Positif
3,"Tinggal klik, Transaksi, Ongkir Gratis :) . Tenang barangnya cepat sampai, lebih cepat dari lupain mantan malah #ShopeeGratisOngkir",Positif
4,Thanks @LazadaID barangnya sudah sampai. Ternyata lebih cepat yaa. Thanks lazada :) ,Positif
5,ini barangnya udh sampai kok min :) padahal tapi status masih sedang di proses. Thks ya lazada barang bagus pengiriman jg cepat :),Positif
6,baik min terima kasih atas infonya ya min :) semoga barangnya cepat sampai :),Positif
7,"iya makasih infonya, semoga verifikasi pembayarannya cepat dan barangnya pun sampai dengan selamat :)",Positif
8,"@lailychusnia Sama saja sis, hanya waktu sampai barangnya saja yg berbeda. Lebih cepat pake jne reg 1-2 hari uda sampai :)",Positif
9,"@paba86 barangnya sudah dioper ke kurir untuk dikirim, ya :) semoga cepat sampai.",Positif
10,"nah iya nih, setuju bgt deh sama @ringgoagus aku pun #GaJauhJauh nyari barang-barang berkualitas di OLX ....sakedap intip OLX dulu ya! :) ",Positif
11,"@its3second Harga terjangkau, barang berkualitas, mudah didapatkan, banyak promo/disc tiap bulannya. Mantapss!! :) #3secondgiveaway",Positif
12,"Barang berkualitas, clientpun puas. Thanks atas kerja samanya. :)",Positif
13,"Cari barang berkualitas di Shopback bagi mblo itu Gampang banget, karena _g susah bagi mereka itu cuma cari Pasangan :D #ShopBackFlashSale",Positif
14,"Kalau mau belanja banyak ShopBack in aja , banyak barang berkualitas serta diskon gede gedean :D #ShopBackFlashSale",Positif
15,Jadi reseller di Crown Shopaholic punya banyak keuntungan loh :) banyak hadiah unik dan barang yg dijual pun berkualitas terjamin!!!(y),Positif
16,"ayo datang ke @PekanRayaID kmu bakal menemukan beragam promo, diskon dan sale barang % produkyg berkualitas :D #ImIndonesian",Positif
17,"Cek http://instagram.com/sedekas  buat dapetin barang second hand berkualitas plus sedekah :D Tunggu bazaar sedekas ""SOCIOWUL"" Minggu 9 Oktober !",Positif
18,"Mampir mampir ke stand @blacklist_offic ya guys, barang-barangnya berkualitas hargapun terjangkau, yuk kapan lagi :) ",Positif
19,RT @.Wahyu_Kopyor @shirtlova barangnya sudah landing dirumah gan. Bahannya berkualitas bingitz. thanks gan :) :D,Positif
20,Harga barangnya murah berkualitas tanpa kibul2 ga jelas. Toko online korpri gitu loh !!! :D #TOKTOKdotIDdiresmikanJOKOWI,Positif
21,"Semua barang di LuckShop_ Mulus , Welcome Reseller Recommended . Jangan Takut tipu tipu . Notipu tipu :)",Positif
22,pengiriman font dikirim melalui bbm / email :) HistoryFontShop 100% Trusted Seller! testi? cek fav ^^,Positif
23,Baby blanket beli dari @bliblidotcom sudah sampai dengan baik. Tepat waktu dan barang sesuai ekspektasi. Trims yah :),Positif
24,"Alhamdulillah sejauh ini selalu sampai tepat waktu, kita selalu cek barang sampai tepat waktu :) ",Positif
25,Barang sampai tepat waktu lho! :) LANGSUNG PESAN ke PIN BB: 2B50727D | WA: 082218200738 :) ,Positif
26,"Thanks @teesIndonesia barang sampai tepat waktu, qualitas barang memuaskan :) ",Positif
27,@JNECare terimakasih jne barang saya sudah sampai dan tepat waktu :),Positif
28,@herrysw saya baru 2 kali belanja di LAZADA estimasi barang sampai satu-dua minggu tapi gak tepat waktu. Keduanya sampai di hari ke lima :),Positif
29,@TokopediaCare halo. apa review yg sdh diberikan kpd pembeli dpt diubah? krn pembeli beri review negatif pdhl barang sampai tepat waktu :),Positif
30,"@ZaloraID makasih! suka bgt sama pelayanannya, barang sampai tepat waktu! ",Positif
31,JNE/Tiki menjelang lebaran selalu overload tp di jamin barang sampai tepat waktu :),Positif
32,@MOZZA_ID kerennn neehhhh barang sampai tepat waktu bagus dan memuaskaan ! Ga nyesel dah thx you bos :D ,Positif
33,"@JNE_ID Layanan YES dong pastinya (Yakin Esok Sampai) dijamin barang sampai tepat waktu, G perlu takut kan bergaransi :) #HUTJNE23 #JNEQuiz1",Positif
34,Ok gan. Makasi ya. Ditunggu orderan slanjutnya :D RT @BayuVU: Barang sesuai yang kita mau no cacat dan sampai tepat waktu. Makasih banyak ya,Positif
35,Barang selalu sampai tepat waktu :* gak lelet gak molorr :p resi dikasih dihari itu jg pd sore/mlm hari ,Positif
36,Lulus & barang kiriman sampai tepat waktu. Thank God Its Friday :D,Positif
37,Thanks gan barang sudah sampai tepat waktu :D #YNWA @kop_tees ,Positif
38,Barang sudah sampai dgn selamat! Big thanks to @gudbola utk bolanya dan @JNE_ID untuk jasa kirim yg tepat waktu :-) http://via.me/-bula7yw ,Positif
